EmployeeNumber,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1001,56,No,Sales,14,4,Other,1,2,Male,46,3,3,Manufacturing Director,2,Married,6785,15110,4,Y,Yes,17,4,2,8,0,33,4,2,10,15,14,13
1002,46,No,Research & Development,11,2,Other,1,2,Female,93,1,4,Sales Representative,3,Married,11593,19573,4,Y,No,11,3,2,8,3,34,2,4,21,4,10,16
1003,32,No,Human Resources,11,4,Technical Degree,1,2,Male,42,3,4,Research Scientist,2,Single,17128,20114,6,Y,No,14,4,1,8,1,4,6,1,24,6,0,12
1004,60,No,Human Resources,29,2,Other,1,3,Female,85,3,2,Sales Representative,3,Single,6837,17676,0,Y,Yes,16,4,3,8,3,38,3,4,20,8,10,12
1005,25,No,Sales,18,2,Human Resources,1,1,Male,34,1,3,Sales Executive,4,Married,1304,11942,1,Y,No,21,4,3,8,1,10,6,1,35,3,11,8
1006,38,No,Sales,27,4,Other,1,3,Male,41,1,1,Sales Executive,1,Single,1422,10547,5,Y,No,22,4,2,8,1,11,0,2,19,18,14,5
1007,56,No,Sales,23,3,Human Resources,1,3,Female,70,1,3,Manufacturing Director,4,Married,11196,13276,1,Y,No,19,4,3,8,0,18,2,2,15,14,10,5
1008,36,Yes,Research & Development,22,1,Other,1,3,Female,32,1,2,Reseach Director,1,Single,15325,15299,3,Y,No,21,3,1,8,2,12,5,2,27,6,13,4
1009,40,No,Research & Development,18,2,Human Resources,1,4,Male,62,1,1,Human Resources,3,Divorced,7677,2252,5,Y,No,18,4,2,8,0,3,6,2,28,17,2,13
1010,28,No,Research & Development,24,3,Other,1,4,Male,79,2,2,Healthcare Representative,2,Single,16353,24382,6,Y,Yes,12,3,3,8,3,13,2,1,25,4,10,13
1011,28,No,Sales,23,2,Other,1,3,Male,85,1,3,Research Scientist,2,Single,9204,26978,4,Y,No,21,4,3,8,1,1,4,3,39,12,6,3
1012,41,No,Human Resources,11,1,Medical,1,1,Female,38,2,1,Reseach Director,2,Divorced,17570,10510,7,Y,Yes,13,4,1,8,3,7,5,1,1,2,7,1
1013,53,No,Human Resources,21,2,Human Resources,1,3,Female,79,3,2,Research Scientist,2,Married,5363,26940,5,Y,Yes,20,3,3,8,1,21,1,2,9,5,4,1
1014,57,Yes,Research & Development,12,1,Human Resources,1,2,Male,58,1,4,Human Resources,2,Single,6491,9173,4,Y,No,23,4,2,8,3,12,1,2,12,11,13,16
1015,41,No,Research & Development,5,1,Human Resources,1,4,Female,68,1,1,Human Resources,3,Single,17085,6504,3,Y,No,15,4,2,8,1,20,6,4,14,17,1,9
1016,20,No,Human Resources,23,2,Life Sciences,1,4,Male,74,1,1,Laboratory Technician,2,Divorced,16385,12206,5,Y,No,21,3,3,8,0,20,0,1,8,17,14,13
1017,39,No,Human Resources,9,2,Other,1,3,Female,46,3,2,Sales Representative,3,Divorced,4280,21633,5,Y,No,17,4,3,8,1,27,2,4,26,3,2,16
1018,19,No,Research & Development,27,1,Human Resources,1,3,Female,85,2,4,Manufacturing Director,1,Divorced,11683,20814,5,Y,No,13,4,3,8,2,32,3,2,7,13,8,10
1019,41,No,Research & Development,25,3,Life Sciences,1,1,Female,75,2,1,Laboratory Technician,3,Divorced,6401,24064,0,Y,No,22,3,3,8,0,28,0,4,5,13,14,6
1020,61,No,Human Resources,9,4,Medical,1,1,Female,96,1,2,Sales Executive,3,Married,17682,20077,5,Y,No,17,3,2,8,2,36,5,3,35,0,15,8
1021,47,No,Sales,22,1,Human Resources,1,2,Female,98,1,1,Healthcare Representative,1,Single,15318,7980,0,Y,No,15,4,1,8,3,21,6,3,23,10,12,13
1022,55,No,Research & Development,10,2,Human Resources,1,3,Male,43,1,1,Manufacturing Director,2,Single,17800,5810,4,Y,No,20,4,2,8,3,25,0,3,2,8,10,3
1023,19,No,Human Resources,22,2,Life Sciences,1,3,Male,96,1,1,Sales Executive,3,Single,1702,24022,6,Y,No,16,4,3,8,1,10,6,1,25,17,12,13
1024,38,No,Human Resources,19,3,Other,1,3,Female,52,3,4,Sales Representative,4,Single,2178,12706,0,Y,No,16,3,3,8,1,10,4,4,35,4,9,16
1025,50,Yes,Human Resources,24,4,Medical,1,4,Male,90,1,3,Sales Representative,2,Married,9632,20401,0,Y,No,21,3,2,8,3,33,5,1,20,9,6,16
1026,29,No,Human Resources,7,1,Human Resources,1,2,Male,52,3,3,Sales Representative,2,Single,8791,21391,5,Y,Yes,21,4,2,8,0,18,3,4,12,14,12,13
1027,39,No,Sales,4,1,Other,1,1,Female,56,1,4,Laboratory Technician,4,Married,14865,25374,6,Y,No,24,4,3,8,2,36,2,2,10,9,0,12
1028,61,Yes,Human Resources,29,4,Medical,1,4,Male,83,2,4,Manager,2,Married,10183,10535,5,Y,Yes,22,4,2,8,3,13,5,2,7,15,2,13
1029,42,Yes,Research & Development,17,1,Technical Degree,1,4,Female,39,2,2,Reseach Director,1,Divorced,12361,24128,4,Y,Yes,14,3,3,8,0,28,2,1,13,3,8,15
1030,44,No,Sales,8,4,Technical Degree,1,4,Male,45,1,1,Human Resources,1,Divorced,6539,21977,5,Y,No,22,3,2,8,2,18,2,4,32,3,6,14
